geometry,name,lon,lat
POINT (100.4008353 13.7842525),PTT,100.4008353,13.7842525
POINT (100.4017128 13.7842053),Caltex,100.4017128,13.7842053
POINT (100.6186522 13.807561),บางจาก,100.6186522,13.807561
POINT (100.6277085 13.6848268),ป.ต.ท.,100.6277085,13.6848268
POINT (100.5830804 13.7126973),บางจาก,100.5830804,13.7126973
POINT (100.582127 13.713896),ป.ต.ท.,100.582127,13.713896
POINT (100.6306123 13.7848158),บางจาก,100.6306123,13.7848158
POINT (100.60982980000001 13.786159800000002),Bangchak,100.60982980000001,13.786159800000002
POINT (100.6386515 13.839207100000003),Caltex,100.6386515,13.839207100000003
POINT (100.6389451 13.840107299999996),PT,100.6389451,13.840107299999996
POINT (100.80944250000002 13.7693082),PT,100.80944250000002,13.7693082
POINT (100.4991181 13.655880100000001),ป.ต.ท.,100.4991181,13.655880100000001
POINT (100.6088876 13.7923934),Caltex,100.6088876,13.7923934
POINT (100.6084528 13.7928987),บางจาก,100.6084528,13.7928987
POINT (100.5991989 13.840138599999996),ป.ต.ท.,100.5991989,13.840138599999996
POINT (100.4482354 13.651357800000001),ซัสโก้,100.4482354,13.651357800000001
POINT (100.6607685 13.835613599999999),ป.ต.ท.,100.6607685,13.835613599999999
POINT (100.66019 13.834479),บางจาก,100.66019,13.834479
POINT (100.6372941 13.851828499999995),บางจาก,100.6372941,13.851828499999995
POINT (100.535485 13.816415400000004),ปั๊มน้ำมันบางจาก - ห้างหุ้นส่วนจำกัด หลิวรุ่งเรือง (ประชาชื่น),100.535485,13.816415400000004
POINT (100.4759285 13.7553186),Bangchak,100.4759285,13.7553186
POINT (100.4780942 13.751281499999996),Ptt,100.4780942,13.751281499999996
POINT (100.3765809 13.702333499999998),บางจาก,100.3765809,13.702333499999998
POINT (100.5021799 13.7899483),Pttstation,100.5021799,13.7899483
POINT (100.6391302 13.829247799999997),PT,100.6391302,13.829247799999997
POINT (100.693467 13.788155599999998),bangchak,100.693467,13.788155599999998
