,CC,CID,VERSION NR,TABLE,LOCATION CODE,(SUB)TYPE,ROAD NUMBER,ROAD NAME,JUNCTION NUMBER,FIRST NAME,SECOND NAME,AREA REFERENCE,LINEAR REFERENCE,NEGATIVE OFFSET,POSITIVE OFFSET,INTERSECTION REFS,LATITUDE,LONGITUDE,URBAN,INTERRUPT,ISOLATED,IN+,OUT+,IN-,OUT-,PRESENT+,PRESENT-,geometry
435,2,227,3.2,19,46271,P1.11,,Arun Amarin 5,,Arun Ammarin Road,,10.0,2409.0,46270.0,46272.0,,13.73662,100.49293,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49293 13.73662)
436,2,227,3.2,19,46272,P1.11,,Arun Amarin 5,,Prajadhipok Road,,10.0,2409.0,46271.0,,,13.73775,100.49657,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49657 13.73775)
438,2,227,3.2,19,25501,P1.11,,Arun Ammarin Road,,Prachathipok-somdetchaophraya Intersection-536,,10.0,536.0,,25502.0,,13.73447,100.49594,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49594 13.73447)
439,2,227,3.2,19,25502,P1.12,,Arun Ammarin Road,,Thetsaban Sai 1 Road,,10.0,536.0,25501.0,25503.0,,13.73658,100.49298,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49298 13.73658)
440,2,227,3.2,19,25503,P3.2,,Arun Ammarin Road,,Bakok Yai Bridge,,10.0,536.0,25502.0,25504.0,,13.73965,100.48948,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48948 13.73965)
441,2,227,3.2,19,25504,P1.11,,Arun Ammarin Road,,Wang Doem Intersection,,10.0,536.0,25503.0,25505.0,,13.74217,100.48754,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48754 13.74217)
442,2,227,3.2,19,25505,P1.12,,Arun Ammarin Road,,Soi Thawitha Phisek-536,,10.0,536.0,25504.0,25506.0,,13.74556,100.48549,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48549 13.74556)
443,2,227,3.2,19,25506,P1.12,,Arun Ammarin Road,,Soi Saengsueksa,,10.0,536.0,25505.0,25507.0,,13.7487,100.48404,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48404 13.7487)
444,2,227,3.2,19,25507,P3.37,,Arun Ammarin Road,,Chao Pho Kamin Shrine,,10.0,536.0,25506.0,25508.0,,13.75219,100.48356,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48356 13.75219)
445,2,227,3.2,19,25508,P1.11,,Arun Ammarin Road,,Siriraj Intersection,,10.0,536.0,25507.0,25509.0,,13.75607,100.48341,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48341 13.75607)
446,2,227,3.2,19,25509,P3.37,,Arun Ammarin Road,,Wat Amarin Tharam,,10.0,536.0,25508.0,25510.0,,13.75989,100.48269,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48269 13.75989)
447,2,227,3.2,19,25510,P1.11,,Arun Ammarin Road,,Arun Ammarin Intersection-536,,10.0,536.0,25509.0,25511.0,,13.76867,100.48581,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48581 13.76867)
448,2,227,3.2,19,25511,P1.12,,Arun Ammarin Road,,Soi Charansanitwong 40,,10.0,536.0,25510.0,25512.0,,13.77139,100.4886,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.4886 13.77139)
