LOCATION CODE,ROAD NAME,FIRST NAME,SECOND NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET,geometry,dist_to_osm_m,positive_ok,negative_ok
35512,Samsen Road,4th Cavalry Division King's Guard,,13.79424,100.51865,35511,35519,POINT (100.51865 13.79424),4.037213189970897,True,True
35519,Samsen Road,Kiak Kai Intersection-556,,13.79724,100.52139,35512,,POINT (100.52139 13.79724),2.042056920123365,False,True
32000,Sanam Chai Road,Sanamchai Rd. Cross Chakphet Rd.,,13.74287,100.49477,,32001,POINT (100.49477 13.74287),0.6190956948564416,True,False
32001,Sanam Chai Road,Sanamchai Rd. Cross Phraphiphit Rd.,,13.74548,100.49444,32000,32002,POINT (100.49444 13.74548),0.6933437482319532,True,True
32002,Sanam Chai Road,Thai Wang Junction-549,,13.74762,100.49429,32001,32003,POINT (100.49429 13.74762),2.110808029160464,True,True
32003,Sanam Chai Road,Kanlanamaitri Junction,,13.75098,100.49377,32002,32004,POINT (100.49377 13.75098),0.7336651574223403,True,True
32004,Sanam Chai Road,Pom Phadet Junction,,13.75246,100.49356,32003,32005,POINT (100.49356 13.75246),0.8376085831825615,True,True
32005,Sanam Chai Road,Sanam Luang,,13.75509,100.49419,32004,,POINT (100.49419 13.75509),5.8620300304448625,False,True
47015,Sathon 1,Soi Ngam Du Phli,,13.72117,100.5458,,47016,POINT (100.5458 13.72117),3.026147656339107,True,False
47016,Sathon 1,Sathon Tai Road,,13.72568,100.54342,47015,,POINT (100.54342 13.72568),2.369977599489413,False,True
47017,Sathon 11,Naradhiwas Rajanagarindra 10/Soi Chan 18/7 Yaek 28,,13.71313,100.52767,,47018,POINT (100.52767 13.71313),0.28425908258688964,True,False
47018,Sathon 11,Soi Chan 18/7,,13.71368,100.52762,47017,47019,POINT (100.52762 13.71368),3.6647879399395973,True,True
47019,Sathon 11,Sathon Tai Road,,13.72055,100.52617,47018,,POINT (100.52617 13.72055),2.0594355017524717,False,True
25006,Sathon Rd.,Taksin Bridge-644,,13.7195,100.5117,,25007,POINT (100.5117 13.7195),3.9058227304889623,True,False
25007,Sathon Rd.,Chaloemphan Intersection,,13.71862,100.51514,25006,25021,POINT (100.51514 13.71862),0.8094012208228636,True,True
25021,Sathon Rd.,Mp Gas Station,,13.71816,100.51689,25007,25008,POINT (100.51689 13.71816),4.822690392030328,True,True
25008,Sathon Rd.,Sathon Surasak Intersection,,13.71883,100.51984,25021,25009,POINT (100.51984 13.71883),1.3921533434628834,True,True
25009,Sathon Rd.,Sathon-pramuan Junction,,13.71966,100.52259,25008,25010,POINT (100.52259 13.71966),5.807518104974529,True,True
25010,Sathon Rd.,Soi Sathon 11,,13.72066,100.52615,25009,25011,POINT (100.52615 13.72066),10.837213757479361,True,True
25011,Sathon Rd.,Narin Thon Intersection-644,,13.72186,100.53037,25010,25012,POINT (100.53037 13.72186),0.13244475848865286,True,True
25012,Sathon Rd.,Sathon Suanplu Intersection,,13.72372,100.53652,25011,25013,POINT (100.53652 13.72372),10.295463471442515,True,True
25013,Sathon Rd.,Q House Building,,13.72508,100.54119,25012,25014,POINT (100.54119 13.72508),7.9716475535687525,True,True
25014,Sathon Rd.,Witthayu Intersection-644,,13.72627,100.54451,25013,,POINT (100.54451 13.72627),1.168136151640533,False,True
47022,Sathu Pradit 15,Sathu Pradit Road,,13.70015,100.53096,,47023,POINT (100.53096 13.70015),1.3446085235101082,True,False
47023,Sathu Pradit 15,Naradhiwas Rajanagarindra Road,,13.7052,100.53854,47022,,POINT (100.53854 13.7052),4.664211899955511,False,True
47024,Sathu Pradit 34,Soi Phatthanakan,,13.68445,100.52696,,47025,POINT (100.52696 13.68445),0.5921456826218152,True,False
47025,Sathu Pradit 34,Soi Rong To,,13.691,100.53108,47024,47026,POINT (100.53108 13.691),0.15745779828800255,True,True
47026,Sathu Pradit 34,Sathu Pradit Road,,13.69375,100.53349,47025,,POINT (100.53349 13.69375),3.3217197954146753,False,True
47027,Sathu Pradit 58,Charoen Rat 7,,13.68692,100.52294,,47028,POINT (100.52294 13.68692),2.8187704303807313,True,False
47028,Sathu Pradit 58,Soi Phatthanakan,,13.68387,100.52646,47027,47029,POINT (100.52646 13.68387),2.1564613712520244,True,True
47029,Sathu Pradit 58,Sathu Pradit Road,,13.68086,100.53074,47028,,POINT (100.53074 13.68086),1.6286990680914,False,True
29501,Sathu Pradit Road,Sathu Pradit Intersection,,13.67905,100.52911,,29502,POINT (100.52911 13.67905),0.7081572456370255,True,False
29502,Sathu Pradit Road,Sathu Pradit 52,,13.68338,100.53221,29501,29503,POINT (100.53221 13.68338),2.8595136652587234,True,True
29503,Sathu Pradit Road,Sathu Pradit 46,,13.68668,100.53289,29502,29504,POINT (100.53289 13.68668),1.2785140853540178,True,True
29504,Sathu Pradit Road,Mongkhonwan Kindergarten,,13.69057,100.53424,29503,29505,POINT (100.53424 13.69057),3.152799441635591,True,True
29505,Sathu Pradit Road,Duan Sathu Pradit Intersection,,13.69498,100.533,29504,29506,POINT (100.533 13.69498),2.1279241013545116,True,True
