LOCATION CODE,LATITUDE,LONGITUDE,u,v,key,osmid,distance_meters
46302,13.67533,100.64135,278499102,8288483484,0,25551890,1.128172947056639
46303,13.67204,100.61508,1687506325,8631826760,0,1025100208,7.510518400298176
46305,13.66256,100.63033,1686480724,1686480715,0,974403342,6.537681791093341
46305,13.66256,100.63033,1686480715,1686480724,0,974403342,6.537681791093341
46306,13.66781,100.63202,2447030261,9533863375,0,156404797,4.692640816176122
46307,13.67175,100.61656,1687506289,1669417817,0,185120446,11.806777683214513
46309,13.67158,100.61734,1669417817,1687506278,0,185120446,8.988142838423451
46315,13.65326,100.43054,1119865322,1119865278,0,1042245384,2.3083594263238116
46316,13.65671,100.43003,268602214,268602215,0,628706564,2.275300488706201
46317,13.66453,100.42886,1129410959,1158393532,0,1029638654,4.305091330927998
46318,13.6689,100.42784,3138431335,5925677894,0,1029638652,4.0197396839552235
46319,13.67391,100.42557,1129409358,1592063293,0,860583895,5.281712952830563
53518,13.56306,100.41943,1094103717,3699764825,0,1042245382,0.9781419128087205
53518,13.56306,100.41943,3699764825,1094103717,0,1042245382,0.9781419128087205
53517,13.58488,100.42804,1524338624,3943610117,0,624997839,1.3745035976628186
46320,13.59014,100.42977,5910912874,8520030060,0,626088817,0.32558993494059524
46321,13.59838,100.43262,12162171171,12162171172,0,1314008685,0.2488133415878521
46322,13.60531,100.43494,12787781965,1598852833,0,1381342926,4.653757214734387
46323,13.6139,100.43762,12182919259,12182919262,0,1316241609,2.048741589490729
46324,13.62397,100.43586,1146174622,1094102908,0,139059203,1.677860923066253
46325,13.6257,100.43498,1094102964,1669113633,0,1108263381,1.183692475026929
46326,13.62718,100.43466,2532733859,5933398149,0,628487311,6.959616976079024
46327,13.62971,100.43417,1608093732,5933398191,0,1108263384,0.22634492164642794
46328,13.63492,100.43315,5933185901,5933186160,0,139059211,3.5461712015139906
46329,13.64092,100.43217,1671130916,1145990583,0,1160694908,2.756856648456753
46330,13.64151,100.43209,1671130916,1145990583,0,1160694908,5.23597748217633
46331,13.64971,100.43096,10795349931,5930733156,0,628209810,0.9655824439594106
46332,13.65326,100.43054,1119865322,1119865278,0,1042245384,2.3083594263238116
41000,13.80635,100.53082,373456987,7891903152,0,1047147558,4.136742713046304
41000,13.80635,100.53082,7891903152,373456987,0,1047147558,4.136742713046304
41001,13.81031,100.53131,1702167658,1702167598,0,623694033,3.9594036122032734
41002,13.81275,100.53163,9649016552,4628854675,0,623694033,1.2956882568479318
41003,13.81592,100.53206,1648414730,12446547895,0,623694035,2.6055261166192136
41004,13.81858,100.53237,1702157994,1648414659,0,185301800,0.35045986460892337
41005,13.82249,100.53282,1707948814,373456992,0,185301800,1.208365269143245
41006,13.82592,100.53135,373457015,1707955926,0,185301800,0.6174919028553322
41007,13.82828,100.52844,12726035832,1538237594,0,140391502,2.4126049200335236
46335,13.83362,100.52204,5880558034,1684090826,0,157801904,9.364823480459116
46336,13.73,100.45225,1116475766,6048426391,0,199907446,7.125018148651723
32501,13.74211,100.497,5925962570,255712654,0,138949586,2.4795371269592517
32502,13.74532,100.49742,5919575346,9363492695,0,157690718,100.56264902304345
32503,13.74721,100.49767,255710881,10264403528,0,1161152035,1.9566762304304264
32503,13.74721,100.49767,10264403528,255710881,0,1161152035,1.9566762304304264
32507,13.75147,100.49819,255710554,3932367944,0,178353984,0.7753333721339034
14170,13.74745,100.52377,6235223336,280205849,0,194547823,0.14117059091736708
14171,13.75036,100.52481,2122149483,7889723845,0,202235939,1.0463694878459138
14172,13.75503,100.5269,280186350,8041269595,0,159378395,6.032134373461619
14172,13.75503,100.5269,8041269595,280186350,0,159378395,6.032134373461619
46342,13.75215,100.50542,9363513203,312064087,0,1296524760,2.7331877242402816
46343,13.75576,100.5062,312064093,1656024355,0,32809639,57.78795150997736
22510,13.7577,100.49493,12279228848,5928272913,0,25715091,16.71699421858127
22504,13.76237,100.49067,2619780447,2346462876,0,25715010,1.8019703105752398
22505,13.76867,100.48581,1338555240,6410774578,0,176762417,4.219390894314223
22506,13.77338,100.48183,1338567403,1338567449,0,320273820,0.9755239580378853
22507,13.77999,100.47567,1338567454,1338567424,0,320273820,2.013870288758826
22508,13.7843,100.47173,1338567428,1338567419,0,119064593,1.737674767508526
22509,13.78766,100.46889,1342404076,10992446553,0,119476431,0.12865393009553136
16077,13.6677,100.63429,2447030255,61708655,0,837410995,1.9432769175091902
20294,13.66835,100.63017,776945353,776526776,0,62231786,1.8184599473803387
16088,13.66451,100.65238,11836380290,7815542239,0,837410990,15.190900518659603
16097,13.6641,100.6523,2447030185,2447030198,0,236713734,17.320605677136363
46026,13.66885,100.6304,776526694,776526701,0,62226681,2.6055526515430047
20256,13.66788,100.63433,1283908436,1283907998,0,1189598005,2.2074380669301514
46025,13.67288,100.60897,1885340878,7913787473,0,211040176,5.272442835188339
46027,13.66788,100.63433,1283908436,1283907998,0,1189598005,2.2074380669301514
46028,13.66714,100.63908,7979849802,7979849793,0,1189598003,7.688554394571681
46029,13.66612,100.64391,2447030214,85766933,0,837410992,5.954189560779714
16087,13.66451,100.65238,11836380290,7815542239,0,837410990,15.190900518659603
16098,13.6641,100.6523,2447030185,2447030198,0,236713734,17.320605677136363
16075,13.66596,100.64314,2447030209,2447030225,0,236713734,1.282712019465144
16076,13.66676,100.63901,776526739,2447030247,0,837410995,0.0644091447419651
16078,13.6677,100.63429,2447030255,61708655,0,837410995,1.9432769175091902
16086,13.6726,100.60889,61708653,1283908239,0,183769812,1.9166034905062077
14115,13.88428,100.58159,1715372385,85753770,0,1136754383,2.113195712012921
46344,13.7878,100.46116,2039197235,2039197236,0,359405821,17.778743282562115
46345,13.79165,100.46343,565343870,565343871,0,119106951,1.5119429675602332
33505,13.75187,100.5087,9363513189,255710563,0,123951459,0.9355412767173937
33508,13.75501,100.50949,12698196473,268242848,0,1057814157,2.403917611912022
33508,13.75501,100.50949,268242848,12698196473,0,1057814157,2.403917611912022
33506,13.75644,100.50966,9363513133,1699503388,0,198404624,0.16462094921467102
33507,13.75825,100.50951,1699503382,5919974446,0,1352319180,1.2041969885700288
33501,13.74091,100.50102,7929961251,2322774872,0,448996724,2.9929616274237008
33509,13.74416,100.50442,268267291,9363513411,0,242165656,0.819469730760606
33000,13.74137,100.50017,1699503344,2367434276,0,157690714,0.958333945890571
33012,13.74502,100.50262,9363512749,255712381,0,1059339517,0.8099276049290419
11087,13.67831,100.47827,205200430,205200431,0,29993436,37.38346663589729
11088,13.6713,100.49635,205200445,205200447,0,143769794,41.677337604638105
11091,13.67161,100.50759,12430663694,12430663698,0,1350022608,23.723896063761327
11092,13.68602,100.51984,11071693162,11071693164,0,1157633214,1.7532309509702453
11094,13.69199,100.52454,11536676644,11536676643,0,1176581304,0.6806536167799792
46125,13.69378,100.52771,205208981,1688948515,0,32042339,23.130934933666705
11096,13.69434,100.52915,2088898101,2088898110,0,198802002,43.23205149175258
11099,13.69752,100.5378,11092269739,11092269740,0,753173499,27.47650121801991
11100,13.70089,100.54137,3588416458,3588416460,0,859521014,15.021442371803072
11103,13.70925,100.54926,1692045547,1692045508,0,156966555,31.836728648089323
11126,13.71492,100.55496,272460506,8063314480,0,25044880,1.2883450077836707
